Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Comments
1,Document,,,,,,,,,,Blank diagram,,,,,,,,,,,,,,,,,
2,Page,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,
3,Page,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,
4,Entity,Entity Relationship,3,,,,,,,,User,PK,id,String,username,String,password,String,first_name,String,last_name,Boolean,is_admin,String,email,String,phone_number,
5,Entity,Entity Relationship,3,,,,,,,,Product,PK,id,Key,title,Double,price,Double,discount_rate,Datetime,date_added,Int,stock,String,image,FK,category_id,
6,Entity,Entity Relationship,3,,,,,,,,Address,PK,id,String,country,String,city,String,address,FK,user_id,,,,,,,
7,Entity,Entity Relationship,3,,,,,,,,Card,PK,id,String,name,String,number,String,cvv,Date,expiry_date,FK,holder_id,,,,,
8,Entity,Entity Relationship,3,,,,,,,,Category,PK,id,String,name,String,icon,,,,,,,,,,,
9,Entity,Entity Relationship,3,,,,,,,,Review,PK,id,String,title,String,text,Int,rating,FK,author_id,FK,product_id,,,,,
10,Entity,Entity Relationship,3,,,,,,,,Order,PK,id,Datetime,timestamp,String,status,Datetime,status_change_date,FK,user_id,,,,,,,
11,Entity,Entity Relationship,3,,,,,,,,Payment,PK,id,FK,card_id,FK,order_id,,,,,,,,,,,
12,Entity,Entity Relationship,3,,,,,,,,CartItem,PK,id,FK,product_id,FK,user_id,Int,quantity,,,,,,,,,
13,Entity,Entity Relationship,3,,,,,,,,OrderItem,PK,id,FK,product_id,FK,order_id,Int,quantity,Double,price,,,,,,,
14,Entity,Entity Relationship,3,,,,,,,,WishlistItem,PK,id,FK,product_id,FK,user_id,Int,quantity,,,,,,,,,
15,Line,,3,,,4,6,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
16,Line,,3,,,4,7,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
17,Line,,3,,,4,9,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
18,Line,,3,,,5,9,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
19,Line,,3,,,8,5,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
20,Line,,3,,,4,10,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
21,Line,,3,,,7,11,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
22,Line,,3,,,11,10,CFN ERD One Arrow,CFN ERD One Arrow,,,,,,,,,,,,,,,,,,,
23,Line,,3,,,5,12,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
24,Line,,3,,,4,12,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
25,Line,,3,,,5,13,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
26,Line,,3,,,10,13,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
27,Line,,3,,,5,14,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
28,Line,,3,,,4,14,CFN ERD One Arrow,CFN ERD Many Arrow,,,,,,,,,,,,,,,,,,,
